id,name,image,infopic,role,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,created_at,updated_at
9,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu_20170307_162938.jpg,Fondo florido,fotosJoyas,,,,,2017-03-28 03:50:34.034143,2017-05-20 19:49:09.816692
8,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu-20160807_211425.jpg,Anillo fondo blanco,fotosJoyas,,,,,2017-03-28 03:50:34.031121,2017-03-30 17:09:25.555909
13,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/dsc_7497.jpg,Fondo decorado,fotosJoyas,,,,,2017-03-30 04:42:49.415024,2017-03-30 17:10:28.153464
7,Parqueadero,https://bitacoradelmotoneto.files.wordpress.com/2017/04/ljubljana-20140709_164636.jpg,Ljubljana | Eslovenia,fotosUrbano,,,,,2017-03-28 03:50:34.027864,2017-04-03 18:42:17.476102
5,Caña,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-1-20111102_143123.jpg,Valle del Cauca | Colombia,fotosPaisajes,,,,,2017-03-28 03:50:34.021368,2017-04-03 04:03:03.785002
1,Schule,https://bitacoradelmotoneto.files.wordpress.com/2017/04/basel-20150306_153833_web.jpg,Basel | Suiza,fotosUrbano,,,,,2017-03-28 03:50:34.004739,2017-04-03 18:41:25.32966
3,Guatemala,https://bitacoradelmotoneto.files.wordpress.com/2017/04/alto-palermo-20120909_165607.jpg,Buenos Aires | Argentina,fotosCuadrados,,,,,2017-03-28 03:50:34.015562,2017-04-04 01:58:20.566054
4,Nieve,https://bitacoradelmotoneto.files.wordpress.com/2017/04/aletsch-20160601_151010.jpg,Aletschgletscher | Suiza,fotosTexturas,,,,,2017-03-28 03:50:34.018503,2017-04-03 19:03:42.799825
2,Urca,https://bitacoradelmotoneto.files.wordpress.com/2017/04/rio-20120729_161051.jpg,Rio de Janeiro | Brasil,fotosMuelles,,,,,2017-03-28 03:50:34.012521,2017-04-04 00:29:30.585574
51,Estanque,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_01.jpg,Pirañas | Test Luces Cáusticas,others,,,,,2017-03-30 15:38:02.276764,2017-03-30 15:52:44.173519
52,Pez,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_02.jpg,Piraña | Text Texturas & UV Unwrap,others,,,,,2017-03-30 15:38:38.287194,2017-03-30 15:53:58.520918
53,Pez,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_03.jpg,Piraña | Texturas,others,,,,,2017-03-30 15:39:01.636542,2017-03-30 15:54:16.082496
54,Chevrolet Vitara,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_07.jpg,Chevrolet Vitara | Test Modelado,others,,,,,2017-03-30 15:45:50.904433,2017-03-30 15:54:38.1599
55,Chevrolet Vitara,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_08.jpg,Chevrolet Vitara | Test Modelado,others,,,,,2017-03-30 15:46:15.751732,2017-03-30 15:54:50.369639
56,Sofá,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_09.jpg,Sofá | Test Texturas,others,,,,,2017-03-30 15:46:56.147881,2017-03-30 15:55:24.537299
57,Silo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_10.jpg,Silo Cementero | Modelado,others,,,,,2017-03-30 15:47:20.839149,2017-03-30 15:55:52.26501
58,Trofeo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_11.jpg,Trofeo | Modelado,others,,,,,2017-03-30 15:47:42.910552,2017-03-30 15:56:12.520033
59,Mostrador Joyas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_12.jpg,Mostrador Joyas | Vista general,others,,,,,2017-03-30 15:48:15.235486,2017-03-30 15:56:35.109674
60,Empaque Plantas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_13.jpg,Empaque Plantas Mariposas | Vista general,others,,,,,2017-03-30 15:48:33.713027,2017-03-30 15:57:07.19341
61,Mesa selección,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_14.jpg,Mesa Selección | Diseño Propio,others,,,,,2017-03-30 15:49:00.665503,2017-03-30 15:57:32.58514
34,San Juán de la Vega,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_02.jpg,Apartamento Las Vegas | Comedor,spaces,,,,,2017-03-30 04:55:08.059741,2017-03-30 16:00:22.165357
45,Oficina,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_13.jpg,Apartamento San Juan de la Vega | Oficina,spaces,,,,,2017-03-30 04:57:41.27533,2017-03-30 16:03:47.56323
39,La Trinidad,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_07.jpg,Mariposario La Trinidad | Lago,spaces,,,,,2017-03-30 04:56:21.738254,2017-03-30 16:05:02.037405
40,La Trinidad,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_08.jpg,Mariposario La Trinidad | Deck,spaces,,,,,2017-03-30 04:56:34.398689,2017-03-30 16:05:29.446567
20,Sillón,https://bitacoradelmotoneto.files.wordpress.com/2017/03/productos_08.jpg,Sillón | Diseño Propio,products,,,,,2017-03-30 04:47:10.043123,2017-03-30 16:09:29.552244
26,Archivo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/productos_14.jpg,Organizador Archivo Histórico | Clínica Medellín,products,,,,,2017-03-30 04:49:32.962565,2017-03-30 16:11:07.813194
31,Solpidem,https://bitacoradelmotoneto.files.wordpress.com/2017/03/productos_19.jpg,Solpidem | Empaque Exterior,products,,,,,2017-03-30 04:51:02.151244,2017-03-30 16:12:45.787808
62,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/anillo-20131114_101551ph.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:11:53.74896,2017-03-30 17:11:53.74896
